id,text,file,node,lineNumber
line:0943008,"Me: This flower over here... ",flower.start,flower.start,6
line:06fc0db,"Me: It is my favorite one!  ",flower.start,flower.start,7
line:0bdab68,"Me: They call it chameleon flower.  ",flower.start,flower.start,8
line:003fe13,"Me: Do you know why?  ",flower.start,flower.start,9
line:035084e,"Date: Hihi, because it can change its color?  ",flower.start,why,17
line:0d7fd63,No! Look closer!,flower.start,why,20
line:0b0e8c3,silence,flower.start,why,24
line:0a9a463,"Me: Noooo!  ",flower.start,why,21
line:00671a9,"Me: It is because it looks like a chameleon, when you turn your head like this...  ",flower.start,why,22
line:0120a21,"Me: Thaaaat... iiiiis... right...  ",flower.start,why,25
line:03154da,"Oh, ok... ",flower.start,lame,33
line:0e80aa6,"That is... nice. ",flower.start,lame,34
line:0d0612e,"Date: Really? That sounds awesome! ",flower.start,turn,41
line:05154cf,"Date: Let me try it! ",flower.start,turn,42
line:0667a54,"Date: ... ",flower.start,turn,43
line:0ebe14d,"Date: I can't... ",flower.start,turn,44
line:047524c,"Date: Oh! Now! I see it! ",flower.start,turn,45
line:0c0ff7d,"Date: Hihi, how did you know? ",flower.start,turn,47
line:0583fbb,I read about it.,flower.start,turn,49
line:005d9da,silence,flower.start,turn,53
line:06a177c,"Me: I have the great chameleoncyclopaedia one to three at home.  ",flower.start,turn,50
line:08b1620,"Me: You can borrow it, if you want. ",flower.start,turn,51
line:0b5a832,"Me: ... ",flower.start,turn,54
line:0e97dee,"Date: Are you listening...? ",flower.start,silence_two,62
line:00bce1b,"Date: Oh, I always wanted to read it!  ",flower.start,book,69
line:0ad548a,"Date: I will totally come and borrow it, hihi.  ",flower.start,book,70
