id,text,file,node,lineNumber
line:057ddf7,"Date: So... Hihi... ",goodend.sceneone.start,goodend.sceneone.start,6
line:0cc4cfe,"Date: This is so nice and I looove your gift! So thoughtful.  ",goodend.sceneone.start,goodend.sceneone.start,7
line:0c60780,"Date: I really would like this to go on and learn more about you.  ",goodend.sceneone.start,goodend.sceneone.start,8
line:08df798,"Date: If you'd like to... Hihi.  ",goodend.sceneone.start,goodend.sceneone.start,9
line:09284c4,"Me: Y-yes! It is really nice! Hehe...  ",goodend.sceneone.start,goodend.sceneone.start,11
line:0d0bfa3,"Me: I am happy you liked the gift! ",goodend.sceneone.start,goodend.sceneone.start,12
line:03a7c8a,"Me: No stress at all. He...he... ",goodend.sceneone.start,goodend.sceneone.start,13
line:029b1c3,"Date: So... this was... uh... nice, I guess.  ",goodend.sceneone.start,badend.sceneone.start,21
line:06155ea,"Date: Maybe you can tell me some more about you.  ",goodend.sceneone.start,badend.sceneone.start,22
line:0782880,"Date: And maybe I will tell you some more about me, so your next gift will be more...  ",goodend.sceneone.start,badend.sceneone.start,23
line:0565790,"Date: ...useful.  ",goodend.sceneone.start,badend.sceneone.start,24
line:0ccea6d,"Me: Uhu... yes...  ",goodend.sceneone.start,badend.sceneone.start,26
line:0afc841,"Me: I have a lot... going on.  ",goodend.sceneone.start,badend.sceneone.start,27
line:0739c25,"Me: But I make sure you'll feel better.  ",goodend.sceneone.start,badend.sceneone.start,28
