id,text,file,node,lineNumber
line:09f5923,"Me: So... Hehe... I think the restaurant is sink- ",badend.scenethree.start,badend.scenethree.start,6
line:0b5aae2,"Me: Uh... closing.  ",badend.scenethree.start,badend.scenethree.start,7
line:000aecf,"Me: Do you want to... ",badend.scenethree.start,badend.scenethree.start,8
line:0497a2b,"Me: I don't know...  ",badend.scenethree.start,badend.scenethree.start,9
line:06aaafe,"Me: Meet again? Hehe... ",badend.scenethree.start,badend.scenethree.start,10
line:0afb877,"Date: Well... ",badend.scenethree.start,badend.scenethree.start,11
line:0948789,"Date: I guess we tried to get to know each other.  ",badend.scenethree.start,badend.scenethree.start,12
line:09ae6bf,"Date: I am just not sure, you know...  ",badend.scenethree.start,badend.scenethree.start,13
line:0e90382,"Date: This was all really weird and I am not sure if it was you or... ",badend.scenethree.start,badend.scenethree.start,14
line:02cd7e1,"Date: Maybe we can stay friends...? ",badend.scenethree.start,badend.scenethree.start,15
line:0b7b522,"Date: Hihi... ",badend.scenethree.start,badend.scenethree.start,17
line:04e0ac1,"Date See you at the revolution!  ",badend.scenethree.start,badend.scenethree.start,18
