id,text,file,node,lineNumber
line:0fe6f8e,"Me: Look! Cake!  ",cake.start,cake.start,6
line:0907f4b,Looks Tasty!,cake.start,cake.start,8
line:0d3ad18,Your birthday?,cake.start,cake.start,12
line:0296e00,silence,cake.start,cake.start,17
line:004b5bd,"Me: You wanna try it? ",cake.start,cake.start,9
line:0da693c,"Me: It looks so tasty!  ",cake.start,cake.start,10
line:0daeb8b,"Me: Cake reminds me... ",cake.start,cake.start,13
line:0efaaad,"Me: Uhm... ",cake.start,cake.start,14
line:02b92df,"Me: When is your birthday? Hehe... ",cake.start,cake.start,15
line:0697645,"Me: Holy fucking shit, what is THIS...?!  ",cake.start,cake.start,18
line:048af70,"Date: Ugh... Cake was invented my humans... ",cake.start,lookstasty,26
line:0caa3fa,"Date: We should invent something better! ",cake.start,lookstasty,27
line:0418db4,"Date: Like... brownies! But in green! ",cake.start,lookstasty,28
line:0c768a8,"Date: Greenies! Hihi! ",cake.start,lookstasty,29
line:0a9e68d,"Date: Hihi, my birthday is in July. I am a Leo. ",cake.start,birthdaycake,36
line:03bce0f,"Date: But I like to call myself a panther. Hihi. ",cake.start,birthdaycake,37
line:09ed596,"Date: Because I am a Pantherchameleon...hihi...hihi... ",cake.start,birthdaycake,38
line:0bd746d,Funny.,cake.start,birthdaycake,40
line:05465eb,silence,cake.start,birthdaycake,43
line:054681f,"Me: Hehe...  ",cake.start,birthdaycake,41
line:0fc57b2,"Me: Holy fucking shit, what is THIS...?!  ",cake.start,birthdaycake,44
line:0a45213,"Date: Wa- ",cake.start,Cichy,52
line:0030c51,"Date: Are you going crazy?! ",cake.start,Cichy,53
line:05d7743,"Date: Hihi... ",cake.start,funny,60
