id,text,file,node,lineNumber
line:046702d,"Me: So... hehe... I really enjoyed... ",end.scenethree.start,goodend.scenethree.start,6
line:0bef997,"Me: Your presence... ",end.scenethree.start,goodend.scenethree.start,7
line:059d6c9,"Me: What... what do you think?  ",end.scenethree.start,goodend.scenethree.start,8
line:04afdbe,"Date: Yes!  ",end.scenethree.start,goodend.scenethree.start,9
line:0a1056b,"Date: I think you are super weird and I really like that.  ",end.scenethree.start,goodend.scenethree.start,10
line:029b445,"Date: Hihi. ",end.scenethree.start,goodend.scenethree.start,11
line:0aa02eb,"Date: It is also nice, when someone listens to you so well. ",end.scenethree.start,goodend.scenethree.start,12
line:005d9f6,"Date: I feel like I only have to keep looking at you and everything is going to be okay.  ",end.scenethree.start,goodend.scenethree.start,13
line:0c112bc,"Date: Hihi. ",end.scenethree.start,goodend.scenethree.start,14
line:062906e,"Me: Hehe... yes... that...  ",end.scenethree.start,goodend.scenethree.start,15
line:0a024cd,"Me: I am so... relaxed right now...  ",end.scenethree.start,goodend.scenethree.start,16
line:0cc3b17,"Me: Or maybe I am just too tired to think. ",end.scenethree.start,goodend.scenethree.start,17
line:06fc4e7,"Date: Hihi.  ",end.scenethree.start,goodend.scenethree.start,18
line:04563ec,"Date: Come here...hihi...  ",end.scenethree.start,goodend.scenethree.start,19
line:02807d3,"Me: So... Hehe... I think the restaurant is sink- ",end.scenethree.start,badend.scenethree.start,26
line:06252a1,"Me: Uh... closing.  ",end.scenethree.start,badend.scenethree.start,27
line:0358bd8,"Me: Do you want to... ",end.scenethree.start,badend.scenethree.start,28
line:0d33ef6,"Me: I don't know...  ",end.scenethree.start,badend.scenethree.start,29
line:02cd8a3,"Me: Meet again? Hehe... ",end.scenethree.start,badend.scenethree.start,30
line:0ea8a33,"Date: Well... ",end.scenethree.start,badend.scenethree.start,31
line:0eac1e4,"Date: I guess we tried to get to know each other.  ",end.scenethree.start,badend.scenethree.start,32
line:0f356b1,"Date: I am just not sure, you know...  ",end.scenethree.start,badend.scenethree.start,33
line:0bb36be,"Date: This was all really weird and I am not sure if it was you or... ",end.scenethree.start,badend.scenethree.start,34
line:06caf95,"Date: Maybe we can stay friends...? ",end.scenethree.start,badend.scenethree.start,35
line:05850da,"Date: Hihi... ",end.scenethree.start,badend.scenethree.start,37
line:0161584,"Date: See you at the revolution!  ",end.scenethree.start,badend.scenethree.start,38
