id,text,file,node,lineNumber
line:0526389,"Me: What is this? ",fan.start,Fan.start,6
line:02fad69,"Me: Uhm... this... there! Up there!  ",fan.start,Fan.start,7
line:09158d2,"Me: The Fan!  ",fan.start,Fan.start,8
line:04796b4,Noid Movie!,fan.start,Fan.start,10
line:0c88428,Birds!,fan.start,Fan.start,15
line:0e3a8c1,silence,fan.start,Fan.start,19
line:0c665ff,"Me: It is like in this old noid movies! ",fan.start,Fan.start,11
line:093b892,"Me: I love them!  ",fan.start,Fan.start,12
line:0e7a105,"Me: So dark and mysterious, hehe... ",fan.start,Fan.start,13
line:09ea998,"Me: It reminds me of birds, high in the sky.  ",fan.start,Fan.start,16
line:0d62ab7,"Me: Flying sounds nice, right?  ",fan.start,Fan.start,17
line:01f84c5,"Me: Shit! Shit! Shit! Shit! ",fan.start,Fan.start,20
line:042a509,"Date: Like me... ",fan.start,noirmovie,28
line:0255b7e,"Date: Hihi... ",fan.start,noirmovie,30
line:0424c5a,"Date: Flying would be awesome! ",fan.start,birdies,37
line:0b58ba9,"Date: But on the other claw...  ",fan.start,birdies,38
line:0a0fae2,"Date: I once fell off my tree and it was really horrible.  ",fan.start,birdies,39
line:0b9f96c,"Date: I think I lost my ability to see the color orange that day... ",fan.start,birdies,40
line:012f8a9,Awful!,fan.start,birdies,42
line:0cf0005,silence,fan.start,birdies,46
line:07d82d9,"Me: Oh no... That sound awful! ",fan.start,birdies,43
line:0e4a68c,"Me: But... How do you see orange things then? ",fan.start,birdies,44
line:07ef19a,"Me: Shit! Shit! Shit! Shit! ",fan.start,birdies,47
line:0f1ffaf,"Date: What, in the name of the great chameleon are you doing? ",fan.start,silenciosososos,55
line:091ebd1,"Date: I see them in yellow and red.  ",fan.start,awful,62
line:0c7d558,"Date: Hihi... ",fan.start,awful,63
