id,text,file,node,lineNumber
line:059c17c,"Date: By the way, this place is really... fascinating.  ",scenethree.start,scenethree.start,6
line:099b008,"Date: And the waiter is lovely.   ",scenethree.start,scenethree.start,7
line:0ccdf4b,"Date: Too bad it will all be gone, when the world ends.  ",scenethree.start,scenethree.start,8
line:0b6b62d,"Date: I mean, not our world, hihi. Just for the stupid humans.  ",scenethree.start,scenethree.start,9
line:0835165,"Date: Are you part of the revolution too?  ",scenethree.start,scenethree.start,10
line:0e73ff7,I like humans.,scenethree.start,scenethree.start,12
line:08bff50,Humans are stupid.,scenethree.start,scenethree.start,17
line:0af8997,Silence,scenethree.start,scenethree.start,24
line:0e09a0c,"Me: Yes, this place is really... something...he...he... ",scenethree.start,scenethree.start,13
line:0c1afe8,"Me: But I am kind of sad, that probably most of the humans will be gone. ",scenethree.start,scenethree.start,14
line:088d810,"Me: Some of them make good pets. Although they eat A LOT! ",scenethree.start,scenethree.start,15
line:00abbec,"Me: Yes, this place is really... something...he...he... ",scenethree.start,scenethree.start,18
line:0b1b955,"Me: And I can't wait for the humans to be gone! ",scenethree.start,scenethree.start,19
line:051084b,"Me: We are the rightful rulers of this world. ",scenethree.start,scenethree.start,20
line:0f6bf10,"Me: No one is as smart, beautiful and nice as reptiles.  ",scenethree.start,scenethree.start,21
line:0f5eccf,"Me: I mean some of us can even clone ourselves, something humans have yet to achieve.  ",scenethree.start,scenethree.start,22
line:0c69b74,"Me: Uhm...... what ",scenethree.start,scenethree.start,25
line:025f3cf,"Date: Thanks for listening... ",scenethree.start,scenethree.start,26
line:0dc7341,"Date: Don't be sad for those who are too stupid to survive.  ",scenethree.start,prohumans,34
line:036259e,"Date: They have the thumb! The thumb! Can you imagine what we could do with that?  ",scenethree.start,prohumans,35
line:0442c2f,"Date: If you just take, take, take, of course there will be consequences.  ",scenethree.start,prohumans,36
line:04df81c,"Date: Look what happened to our ancestors, the great dinosaurs and they didn't even do anything bad.  ",scenethree.start,prohumans,37
line:09e9f85,Doubt that.,scenethree.start,prohumans,39
line:0c246f0,"Yes, but too judgmental.",scenethree.start,prohumans,43
line:08d0db3,Silence,scenethree.start,prohumans,47
line:06b5945,"Me: Are you sure? That sound all a bit vague... ",scenethree.start,prohumans,40
line:036a5cc,"Me: I also thought, dinosaurs are the ancestors of birds... ",scenethree.start,prohumans,41
line:063c43b,"Me: Yes! That's what I always thought too! ",scenethree.start,prohumans,44
line:09969db,"Me: But I also think it was just a big coincidence and nobody deserves to die just like that.  ",scenethree.start,prohumans,45
line:007c816,"Me: Uhm...... what ",scenethree.start,prohumans,48
line:04fbcb2,"Date: Thanks for listening... ",scenethree.start,prohumans,49
line:0d63cd2,"Date: Hihi, yes! The humans biology is so simple.  ",scenethree.start,conhumans,57
line:0bae591,"Date: They can only move both eyes together and have you ever see them climbin trees?  ",scenethree.start,conhumans,58
